created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 06:57:00 +0000 2023;1718159917939597483;"Jakarta - Pasangan bakal capres-cawapres Prabowo Subianto dan Gibran Rakabuming Raka akan menjalani pemeriksaan kesehatan selama 8 sampai 10 jam di RSPAD Gatot Subroto. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1085653183;1718159914483548195;brendskienavarr;https://twitter.com/brendskienavarr/status/1718159917939597483
Sat Oct 28 06:56:42 +0000 2023;1718159840760209629;"Kemarin, Rabu (25/10/2023), Prabowo-Gibran sudah mendaftarkan diri ke KPU sebagai Capres-Cawapres. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;0;0;0;in;1615229496415883264;1718159792370573493;erick140451997;https://twitter.com/erick140451997/status/1718159840760209629
Sat Oct 28 06:56:31 +0000 2023;1718159795235201170;"Jakarta, CNBC Indonesia - Calon Presiden (Capres) dari Koalisi Indonesia Maju Prabowo Subianto mengungkapkan dirinya berencana untuk menemui Ketua Umum PDIP Megawati Soekarnoputri, #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1615229496415883264;1718159792370573493;erick140451997;https://twitter.com/erick140451997/status/1718159795235201170
Sat Oct 28 06:56:12 +0000 2023;1718159715728048447;"Politisi senior dan junior itu juga sudah melakukan tes kesehatan menyeluruh yang merupakan syarat agar bisa ditetapkan sebagai pasangan capres-cawapres Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1621010236864892929;1718159602607636642;asigenputri;https://twitter.com/asigenputri/status/1718159715728048447
Sat Oct 28 06:56:12 +0000 2023;1718159713177927869;"Prabowo dan Gibran telah didaftarkan sebagai pasangan capres-cawapres di Kantor KPU RI pada Rabu (25/10/2023). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1621010236864892929;1718159602607636642;asigenputri;https://twitter.com/asigenputri/status/1718159713177927869
Sat Oct 28 06:56:00 +0000 2023;1718159666205913370;"kata pasangan capres-cawapres yang didukung sembilan partai politik itu.  #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1621010236864892929;1718159602607636642;asigenputri;https://twitter.com/asigenputri/status/1718159666205913370
Sat Oct 28 06:55:46 +0000 2023;1718159605195514337;"REPUBLIKACOID, JAKARTA -- Pasangan capres-cawapres Prabowo Subianto-Gibran Rakabuming Raka berjanji akan memperkuat Komisi Pemberantasan Korupsi (KPK) #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1621010236864892929;1718159602607636642;asigenputri;https://twitter.com/asigenputri/status/1718159605195514337
Sat Oct 28 06:53:17 +0000 2023;1718158982655967413;"Pada hari ini (25/10/2023), Prabowo dan Gibran akhirnya mendaftarkan diri ke Komisi Pemilihan Umum (KPU), di hari terakhir pendaftaran, capres-cawapres di pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1085653183;1718158973969531053;brendskienavarr;https://twitter.com/brendskienavarr/status/1718158982655967413
Sat Oct 28 06:53:17 +0000 2023;1718158980160348261;"dan pernah dan akan maju sebagai cawapres dan capres sebanyak empat kali, 2009, 2014, 2019, dan 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1615229496415883264;1718158959172087870;erick140451997;https://twitter.com/erick140451997/status/1718158980160348261
Sat Oct 28 06:51:46 +0000 2023;1718158600525492359;"Dijelaskan Hasyim, hasil tes pemeriksaan itu merupakan salah satu dari rangkaian verifikasi atau penelitian administrasi syarat bakal capres-cawapres. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;0;0;0;in;1085653183;1718158528865787907;brendskienavarr;https://twitter.com/brendskienavarr/status/1718158600525492359
Sat Oct 28 06:51:45 +0000 2023;1718158593911144468;"Kemudian, untuk hasil tes kesehatan para capres tersebut, nantinya akan diserahkan oleh RSPAD Gatot Soebroto kepada KPU pada Jumat (27/10/2023). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto";0;1;0;0;in;1085653183;1718158528865787907;brendskienavarr;https://twitter.com/brendskienavarr/status/1718158593911144468
