created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 08:26:02 +0000 2023;1718544707838750912;"Bakal Calon Presiden (Bacapres) Koalisi Perubahan, Anies Baswedan menyoroti ketidakadilan yang dihadapi masyarakat, sehingga dianggapnya masih jauh dari kata sejahtera. https://t.co/2jLO0yU2vW";0;1;0;2;in;46693036;1718544707838750912;inilahdotcom;https://twitter.com/inilahdotcom/status/1718544707838750912
Sun Oct 29 08:06:08 +0000 2023;1718539700741484682;"Bacapres Anies Baswedan meresmikan #KampungAMIN di lingkungan Masjid Al-Ghofilin di Jl. HOS Cokroaminoto X, RT 05/RW 13 Talangsari, Kelurahan #Jember Kidul, Kecamatan #Kaliwates, Kabupaten Jember, Minggu, 29 Oktober 2023. https://t.co/8ymAUEpoem";0;1;1;2;in;1464106024454008833;1718539700741484682;MANROCHM;https://twitter.com/MANROCHM/status/1718539700741484682
Sun Oct 29 05:00:01 +0000 2023;1718492862889840922;"Bakal calon presiden (bacapres) Koalisi Perubahan Anies Baswedan menyindir pihak yang lebih mengutamakan kepentingan keluarganya ketimbang kepentingan seluruh rakyat Indonesia. Ia bahkan mengucapkan kata "keluarga" hingga berulang kali dalam pidatonya itu. https://t.co/Iclsp5wTQL";0;0;0;0;in;1115596135287025664;1718492862889840922;tribunnewswiki;https://twitter.com/tribunnewswiki/status/1718492862889840922
Sun Oct 29 02:00:01 +0000 2023;1718447564713033733;"Bacapres Anies Baswedan Resmikan Kampung AMIN di Lingkungan Masjid Al-Ghofilin Jember https://t.co/I4RqMgVMmt";1;0;63;173;in;1443801854756880385;1718447564713033733;kba_news;https://twitter.com/kba_news/status/1718447564713033733
Sat Oct 28 12:59:59 +0000 2023;1718251263668707552;"Refleksi Sumpah Pemuda: Bacapres Anies Baswedan Nongkrong bareng Anak Muda di Jember https://t.co/RRGKjCcatC";0;0;16;40;in;1443801854756880385;1718251263668707552;kba_news;https://twitter.com/kba_news/status/1718251263668707552
Sat Oct 28 12:31:07 +0000 2023;1718243997783855150;"VIDEO: Bacapres Anies Baswedan Kunjungi Ponpes Al Falak dan Berikan Motivasi bagi Para Santri https://t.co/KyFNVLiiFm";0;1;4;17;in;47596019;1718243997783855150;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1718243997783855150
Sat Oct 28 12:30:43 +0000 2023;1718243900257956135;"Kehadiran pasangan bacapres dan bacawapres Anies Baswedan-Muhaimin Iskandar (Gus Imin) menjadi pusat perhatian warga depok untuk mengikuti Senam &amp  Jalan Bareng AMIN, Sabtu (28/10).   #pemilupedia #newsupdate #update #news #soundbite https://t.co/4PHSfzqQ5W";0;2;4;17;in;759692754985242625;1718243900257956135;kumparan;https://twitter.com/kumparan/status/1718243900257956135
Sat Oct 28 09:20:52 +0000 2023;1718196121355596273;"Bakal calon presiden (bacapres) dari Koalisi Perubahan Anies Baswedan sebut dirinya tak akan membiarkan adanya ketimpangan terus-menerus di Indonesia.  https://t.co/1Ps54c2VtO";0;0;0;0;in;3098610954;1718196121355596273;tvrinewscom;https://twitter.com/tvrinewscom/status/1718196121355596273
Sat Oct 28 05:42:02 +0000 2023;1718141049347178595;"Bacapres Koalisi Perubahan Anies Baswedan menyinggung pihak yang mencoba menginginkan nepotisme kembali hidup di Indonesia, serta perubahan yang sedang disuarakan akan berhadapan dengan kekuatan besar.   Sedangkan Bacawapres Muhaimin Iskandar mengajak kader dan simpatasian untuk… https://t.co/Hw0cYV22XI";0;0;2;7;in;121640063;1718141049347178595;RadioElshinta;https://twitter.com/RadioElshinta/status/1718141049347178595
Fri Oct 27 20:03:35 +0000 2023;1717995476589654032;"Bakal calon presiden (Bacapres) dari Koalisi Perubahan Anies Baswedan meminta pesantren baik para santri dan kyai dapat mendukung perubahan bagi Indon... https://t.co/9WAMhnz6Mm";0;1;4;6;in;46693036;1717995476589654032;inilahdotcom;https://twitter.com/inilahdotcom/status/1717995476589654032
