created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jun 27 16:42:00 +0000 2023;1673733427613540352;"#EditorialMediaIndonesia hari Rabu (28/6) LIVE pukul 06.30 WIB di Metro TV akan membahas tentang damainya dua bacapres Ganjar Pranowo dan Anies Baswedan yang berfoto bersama di tanah suci.  Sampaikan pertanyaan/pendapat Anda melalui telepon interaktif di 021 - 58399100.  Bedah… https://t.co/Jspt53QuUu";0;4;1;2;in;57261519;1673733427613540352;Metro_TV;https://twitter.com/Metro_TV/status/1673733427613540352
Tue Jun 27 16:25:06 +0000 2023;1673729174769655809;"@StefanAntonio__ @Gede_86 terlepas dr trackrecord background 3 bacapres yg ada...org akan tertarik sm sosok yg kurus, lincah dan gesit..bs berbaur dgn rakyat, ramah dan suka guyon becanda..ga bs diboongin, jg terlihat lbh muda..itu smua ada di sosok pak @ganjarpranowo ...😀😀😝😝";0;1;0;1;in;1603596405460725762;1673718737562931208;PakJenggot___;https://twitter.com/PakJenggot___/status/1673729174769655809
Tue Jun 27 15:44:06 +0000 2023;1673718856580485123;"@4134131L 2.  Butet juga harus tanya Buk Mega siapa penculik Ganjar Pranowo menjelang pengumuman bacapres PDIP 21 April 2023. #JokowiMasalahUtamaRI #JokowiMasalahUtamaRI  Apa benar Ganjar disekap,ngak boleh pegang HP, gak boleh ngomong ke orang luar berhari2 https://t.co/b5pUozjFhs";0;0;1;2;in;1662607048129773569;1672612946021851140;ArsikMd17081945;https://twitter.com/ArsikMd17081945/status/1673718856580485123
Tue Jun 27 15:09:08 +0000 2023;1673710056876146689;"Foto momen pertemuan bakal calon presiden (bacapres) Koalisi Perubahan Anies Baswedan, dengan bacapres PDIP Ganjar Pranowo di sela rangkaian ibadah haji viral di media sosial. Banyak pihak menilai, keakraban kedua tokoh patut dicontoh meski beda poros koalisi.  Streaming 24 jam… https://t.co/R0LhtDCeHl";0;5;2;12;in;57261519;1673710056876146689;Metro_TV;https://twitter.com/Metro_TV/status/1673710056876146689
Tue Jun 27 13:50:12 +0000 2023;1673690195802353664;"@ganjarpranowo Sankin mabuknya jadi bacapres yang dipaksa-paksakan ya pak?";0;0;0;0;in;1664602487469514752;1673155119381356544;indonesiaeffort;https://twitter.com/indonesiaeffort/status/1673690195802353664
Tue Jun 27 13:40:50 +0000 2023;1673687837324242945;"Bacapres Ganjar Pranowo dan Anies Baswedan bertemu di Tanah Suci. Kedua tokoh itu tampak akrab dalam pertemuan yang dilakukan menjelang ibadah Haji 2023.   #Sindonews #news .https://t.co/2Gwu3yY1tu";0;0;0;2;in;231355136;1673687837324242945;SINDOnews;https://twitter.com/SINDOnews/status/1673687837324242945
Tue Jun 27 13:08:13 +0000 2023;1673679627942871040;"Momen itu tergambar dari sesi foto yang melibatkan Bakal Calon Presiden (Bacapres) PDI Perjuangan Ganjar Pranowo beserta dua anak Megawati, M. Prananda Prabowo dan Puan Maharani yang juga merupakan Ketua DPP PDI Perjuangan.  #GanjarUntukSemua  https://t.co/48rosQgun7";0;0;0;0;in;584835300;1673679627942871040;GesuriID;https://twitter.com/GesuriID/status/1673679627942871040
Tue Jun 27 12:19:29 +0000 2023;1673667365559586816;"@3ko_8udi_5 @AnakPayah_ @tvOneNews @ganjarpranowo Adu data sebelum tahun 2023?. Kalau pas 2023 itu jangan di hitung, karena dia udah diusulkan jadi Bacapres dari partainya presiden sekarang.";0;0;0;0;in;1510402819874234368;1673331137215709188;RGapho;https://twitter.com/RGapho/status/1673667365559586816
Tue Jun 27 12:15:37 +0000 2023;1673666389092040705;"Ketua DPP Partai Persatuan Pembangunan (PPP), Achmad Baidowi atau Awiek mengatakan Koalisi Indonesia Bersatu (KIB) tak perlu bubar meskipun pihaknya telah resmi mendukung bacapres PDIP Ganjar Pranowo di Pemilu 2024. “Lah KIB itu kan tidak harus bubar… https://t.co/sKi1mFVmpu";0;0;0;3;in;46693036;1673666389092040705;inilahdotcom;https://twitter.com/inilahdotcom/status/1673666389092040705
Tue Jun 27 11:16:20 +0000 2023;1673651472297349121;"@ch_chotimah2 @ganjarpranowo Cuma 1 bacapres yg betul2 berasal dari rakyat kecil dan tdk canggung dekat dgn rakyat, GP.";0;0;0;0;in;1226092528077684741;1673154453841788928;karmatiranda;https://twitter.com/karmatiranda/status/1673651472297349121
Tue Jun 27 10:42:58 +0000 2023;1673643075078619141;"Lembaga survei algoritma research and consulting merilis hasil survei terkait simulasi 3 nama bacapres 2024. Ganjar Pranowo menempati urutan teratas dengan mendapatkan 34% https://t.co/PitcuXN1bI";0;0;2;4;in;2570087317;1673643075078619141;bbahtiarr;https://twitter.com/bbahtiarr/status/1673643075078619141
Tue Jun 27 10:07:00 +0000 2023;1673634022461935616;"Bacapres Ganjar Pranowo bertemu dengan Anies Baswedan saat menjalankan ibadah haji di Arab Saudi. Politikus PDIP mengungkapkan obrolan mereka berdua. https://t.co/CYKq47lgbT";1;1;0;5;in;69183155;1673634022461935616;detikcom;https://twitter.com/detikcom/status/1673634022461935616
Tue Jun 27 09:51:21 +0000 2023;1673630084694163456;"Disela-sela padatnya kegiatan Ibadah Haji , kedua tokoh Bacapres @ganjarpranowo dan @aniesbaswedan  bertemu dan menyempatkan berphoto bersama utk beliau berdua Semoga Ibadah hajinya lancar dan mabrur , pulang kembali dg sehat dan nyaman aamiin https://t.co/Xcar3QhzCX https://t.co/xINoCDCboj";0;1;10;16;in;1248538148990152704;1673630084694163456;Ghurem2;https://twitter.com/Ghurem2/status/1673630084694163456
Tue Jun 27 09:16:15 +0000 2023;1673621252215562240;"Bakal calon presiden (bacapres) PDIP @ganjarpranowo bertemu dengan bakal capres Koalisi Perubahan untuk Persatuan (KPP) @aniesbaswedan di Mina, Arab Saudi.  Siapapun pilihanmu tetap jalin persatuan demi keutuhan NKRI dg dasar Pancasila bukan yg lain https://t.co/dMzUkx3qvU";0;1;28;31;in;4184979312;1673621252215562240;AntoniusCDN;https://twitter.com/AntoniusCDN/status/1673621252215562240
Tue Jun 27 09:12:44 +0000 2023;1673620366575685633;"@win_ardie @ganjarpranowo Yg jelas, @Andikaperkasa17  selama jadi TNI g pernah cacat hukum dan di pecat seperti bacapres yg sana itu lho.";0;0;0;1;in;1663263299449008128;1673232910739214336;CanTik181984873;https://twitter.com/CanTik181984873/status/1673620366575685633
Tue Jun 27 07:46:05 +0000 2023;1673598560724713472;"Bacapres koarlisi 8T @aniesbaswedan Tekatung² dinegeri para anbiya ..untung ada pak @ganjarpranowo sie edan bisa dpat tmpt yg layak..sudah gitu orang lagi makan minta selfie😂 https://t.co/la1nN8kGq6";0;0;0;1;in;1388529324077162501;1673598560724713472;ErwinRabbani;https://twitter.com/ErwinRabbani/status/1673598560724713472
Tue Jun 27 06:54:04 +0000 2023;1673585471165956096;"Bacapres Anies Baswedan dan Ganjar Pranowo Bertemu di Mekah Saat Ibadah Haji, Apa yang Dibahas?  https://t.co/ZjZB23JqNN";0;0;0;0;in;226039658;1673585471165956096;tribunjambiku;https://twitter.com/tribunjambiku/status/1673585471165956096
Tue Jun 27 06:42:35 +0000 2023;1673582578530664449;"Survei Populi center "@ganjarpranowo terus melesat meninggalkan 2 rival bacapres". survei bayaran lah ! survei ngk bermutu lah itukan yg ngomong karena bacapres nya paling sedikit hasil nya ...jadi bikin survei asal asalan. https://t.co/czQUJFuBeh";0;0;6;7;in;1522747993;1673582578530664449;syddokiddo;https://twitter.com/syddokiddo/status/1673582578530664449
Tue Jun 27 05:30:53 +0000 2023;1673564535012352001;"@ganjarpranowo njirr...baru bacapres serasa udah jadi presiden betulan 🤣";0;0;0;0;in;439460635;1673155119381356544;gilang_Muhaimin;https://twitter.com/gilang_Muhaimin/status/1673564535012352001
Tue Jun 27 05:28:07 +0000 2023;1673563839311527938;"Pak @jokowi  @mohmahfudmd  Sekalian ni pak bacapres @ganjarpranowo daripada blusukan mending bantu penegakan hukum";0;0;0;0;in;474000302;1673563839311527938;SerdaduBrothers;https://twitter.com/SerdaduBrothers/status/1673563839311527938
Tue Jun 27 04:45:18 +0000 2023;1673553066812129281;"@S4N_W1B1 @ganjarpranowo Om...itu di Arab, kok stay cold??? Di Kulkas kali ah, trus itu yg ngawal mana? BACAPRES lho ini";0;0;0;1;in;96205377;1673288642905907201;DoIrfZain;https://twitter.com/DoIrfZain/status/1673553066812129281
Tue Jun 27 04:35:15 +0000 2023;1673550537911042048;"@mohamme75641056 @echoPiR @ganjarpranowo Lho.. kalau pendapatmu gitu berarti sah sah aja dong ngehina GP, wong dia Bacapres. Wong dia sendiri yg pengen dilihat oleh warga "non-Jateng".. Piye to 😪";0;0;0;0;in;1193731126134595585;1673155119381356544;iandraha;https://twitter.com/iandraha/status/1673550537911042048
